# blocks separated by nan rows; rows within block = coefficient of (log10|AL|)^0..3; cols = A0,A1,A2,A3,alpha1,alpha2,alpha3 (Starkov 1994 via Sigernes 2011, transcribed in habtie-phys/auroraloval)
nan,nan,nan,nan,nan,nan,nan
-0.0700,-10.0600,-4.4400,-3.7700,-6.6100,6.3700,-4.4800
24.5400,19.8300,7.4700,7.9000,10.1700,-1.1000,10.1600
-12.5300,-9.3300,-3.0100,-4.7300,-5.8000,0.3400,-5.8700
2.1500,1.2400,0.2500,0.9100,1.1900,-0.3800,0.9800
nan,nan,nan,nan,nan,nan,nan
1.6100,-9.5900,-12.0700,-6.5600,-2.2200,-23.9800,-20.0700
23.2100,17.7800,17.4900,11.4400,1.5000,42.7900,36.6700
-10.9700,-7.2000,-7.9600,-6.7300,-0.5800,-26.9600,-24.2000
2.0300,0.9600,1.1500,1.3100,0.0800,5.5600,5.1100
nan,nan,nan,nan,nan,nan,nan
3.4400,-2.4100,-0.7400,-2.1200,-1.6800,8.6900,8.6100
29.7700,7.8900,3.9400,3.2400,-2.4800,-20.7300,-5.3400
-16.3800,-4.3200,-3.0900,-1.6700,1.5800,13.0300,-1.3600
3.3500,0.8700,0.7200,0.3100,-0.2800,-2.1400,0.7600
